what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485855403613
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485855412777
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855418155
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855422157
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485855422179
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855427678
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855430886
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485855430907
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855440957
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855443031
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1485855443060
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485855444780
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485855446338
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855448824
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485855459030
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855459711
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485855459793
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485855459885
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485855489611
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485855495607
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855498313
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855501953
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485855501976
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485855503626
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855505676
