what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1485753900531
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1485753900548
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485753920040
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485753948093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485753970689
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485754132308
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485754244711
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485767237789
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1485767255611
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485767267768
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1485767273116
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1485767273145
started,bundle,org.eclipse.jst.jee.ui,1.0.200.v200905242144,"org.eclipse.jst.jee.ui",1485767337386
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1485767337418
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1485767337646
started,bundle,org.hibernate.eclipse.jdt.ui,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.jdt.ui",1485767338937
started,bundle,org.hibernate.eclipse,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse",1485767341471
started,bundle,org.hibernate.eclipse.console,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.console",1485767341638
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1485767341896
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1485767341936
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485767353638
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1485767353944
started,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1485767353966
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485767354065
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1485767354135
