what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485923331730
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485923331731
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485923332681
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485923332681
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923337527
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924150045
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1485924177387
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924180938
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924189520
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924189541
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924190614
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485924190615
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924196199
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924196305
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485924197436
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924198466
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924199062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485924199066
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924200820
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924204696
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924210543
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924214299
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924218749
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924230370
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924276282
