what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1485770802456
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485770910545
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485770941872
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485770945766
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1485770949114
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485770956117
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485770981952
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485770981996
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485770982039
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485770982039
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485770985423
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485770985482
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485770990326
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485771016380
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485771018294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485771029952
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485771038490
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485772303331
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1485772312914
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1485772313074
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1485772313082
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485772313287
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485772318978
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485772322219
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1485772332149
